Datetime,Ticker,Open,High,Low,Close,Volume,RUN_JST,RUN_ET,BASE_SESSION,POS,CC2,SD20,SIG,C2,SRC2_CLOSE,ZEROV
2026-08-31 09:30:00-04:00,SOXS,49.27000045776367,49.779998779296875,48.09000015258789,49.38999938964844,17955906,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 10:30:00-04:00,SOXS,49.400001525878906,49.98500061035156,48.932498931884766,49.604000091552734,4447974,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 11:30:00-04:00,SOXS,49.619998931884766,50.2400016784668,49.54999923706055,49.59000015258789,2717210,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 12:30:00-04:00,SOXS,49.58000183105469,49.779998779296875,49.35100173950195,49.75,1825911,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 13:30:00-04:00,SOXS,49.755001068115234,49.779998779296875,49.090999603271484,49.275001525878906,1782505,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 14:30:00-04:00,SOXS,49.279998779296875,49.79999923706055,49.244998931884766,49.470001220703125,1899360,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 15:30:00-04:00,SOXS,49.47999954223633,49.529998779296875,48.91999816894531,49.0099983215332,1749806,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 16:00:00-04:00,SOXS,49.02,49.16,48.99,49.02,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 17:00:00-04:00,SOXS,49.03,49.1407,48.9577,48.99,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 18:00:00-04:00,SOXS,48.99,49.18,48.9602,49.1,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 19:00:00-04:00,SOXS,49.124,49.22,48.98,48.99,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 04:00:00-04:00,SOXS,48.95,50.62,48.19,50.51,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 05:00:00-04:00,SOXS,50.54,51.41,50.25,51.36,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 06:00:00-04:00,SOXS,51.366,51.38,50.72,50.95,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 07:00:00-04:00,SOXS,50.94,51.5798,50.75,51.34,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 08:00:00-04:00,SOXS,51.34,52.08,51.04,51.8215,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 09:00:00-04:00,SOXS,51.83,52.41,51.7901,52.4,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 09:30:00-04:00,SOXS,51.880001068115234,53.689998626708984,51.779998779296875,53.558998107910156,20080061,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 10:30:00-04:00,SOXS,53.54999923706055,53.54999923706055,51.720001220703125,51.779998779296875,6387275,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 11:30:00-04:00,SOXS,51.779998779296875,52.38999938964844,50.900001525878906,52.26499938964844,5960672,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 12:30:00-04:00,SOXS,52.27000045776367,52.77000045776367,51.779998779296875,52.38999938964844,3953128,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 13:30:00-04:00,SOXS,52.400001525878906,53.099998474121094,52.279998779296875,52.94990158081055,2431120,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 14:30:00-04:00,SOXS,52.939998626708984,53.52000045776367,52.0,52.0099983215332,3899082,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 15:30:00-04:00,SOXS,52.02000045776367,52.63999938964844,51.97999954223633,52.170101165771484,2763271,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 16:00:00-04:00,SOXS,52.16,52.43,51.96,52.26,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 17:00:00-04:00,SOXS,52.26,52.63,52.19,52.59,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 18:00:00-04:00,SOXS,52.58,52.9,52.46,52.64,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-01 19:00:00-04:00,SOXS,52.6353,52.8,52.5,52.5757,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 04:00:00-04:00,SOXS,53.04,53.82,52.67,53.34,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 05:00:00-04:00,SOXS,53.3417,54.29,53.13,54.0,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 06:00:00-04:00,SOXS,54.01,54.54,53.94,54.16,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 07:00:00-04:00,SOXS,54.15,54.64,53.56,53.71,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 08:00:00-04:00,SOXS,53.7015,53.83,52.56,52.81,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 09:00:00-04:00,SOXS,52.84,53.67,52.7861,53.2862,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 09:30:00-04:00,SOXS,52.79999923706055,54.38999938964844,51.689998626708984,51.73870086669922,19869206,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 10:30:00-04:00,SOXS,51.7400016784668,52.7400016784668,51.047298431396484,51.650901794433594,8017097,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 11:30:00-04:00,SOXS,51.63999938964844,51.8849983215332,51.119998931884766,51.79999923706055,4367184,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 12:30:00-04:00,SOXS,51.810001373291016,52.23899841308594,51.58000183105469,51.97999954223633,3068306,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
